rank,word,frequency
1129,beyond,25
1130,letters,25
1131,joke,25
1132,mood,25
1133,possible,25
1134,moments,25
1135,problem,25
1136,falling,25
1137,granger,25
1138,lowered,25
1139,relief,25
1140,fight,25
1141,sighed,25
1142,shock,25
1143,excellent,25
1144,fat,25
1145,present,25
1146,leg,25
1147,teaching,25
1148,attempted,25
1149,pause,25
1150,crossed,25
1151,passing,25
1152,terrified,25
1153,particularly,25
1154,soared,25
1155,snow,25
1156,hey,25
1157,examination,25
1158,hog,25
1159,downstairs,25
1160,calm,25
1161,throat,25
1162,flames,25
1163,change,25
1164,rage,25
1165,secret,25
1166,teeth,25
1167,asking,25
1168,bottle,25
1169,skin,25
1170,write,25
1171,needed,25
1172,faced,25
1173,defensive,25
1174,asleep,25
1175,invisibility,25
1176,business,25
1177,explain,24
1178,wings,24
1179,breathing,24
1180,furious,24
1181,hundred,24
1182,lit,24
1183,ugly,24
1184,desperately,24
1185,liked,24
1186,coldly,24
1187,transfiguration,24
1188,movement,24
1189,nervous,24
1190,impression,24
1191,check,24
1192,normal,24
1193,wonder,24
1194,tight,24
1195,whisper,24
1196,thoughts,24
1197,certain,24
1198,expelled,24
1199,warning,24
1200,peering,24
1201,cannot,24
1202,exam,24
1203,pile,24
1204,growled,24
1205,position,24
1206,whenever,24
1207,privet,24
1208,shop,24
1209,bet,24
1210,struggling,24
1211,stretched,24
1212,drink,24
1213,bottom,24
1214,sick,24
1215,rubbish,24
1216,sounds,24
1217,scared,24
1218,soft,24
1219,bode,24
1220,holidays,23
1221,learn,23
1222,magazine,23
1223,distant,23
1224,twice,23
1225,using,23
1226,drew,23
1227,hidden,23
1228,expecting,23
1229,contact,23
1230,twins,23
1231,headless,23
1232,tall,23
1233,causing,23
1234,p,23
1235,unable,23
1236,age,23
1237,nasty,23
1238,rid,23
1239,form,23
1240,nervously,23
1241,butterbeer,23
1242,attempting,23
1243,meetings,23
1244,weeks,23
1245,zoomed,23
1246,rang,23
1247,minute,23
1248,patronus,23
1249,hung,23
1250,thoroughly,23
1251,closely,23
1252,killed,23
1253,lawn,23
1254,grimly,23
1255,zacharias,23
1256,message,23
1257,happening,23
1258,poor,23
1259,seats,23
1260,upward,22
1261,figure,22
1262,fellow,22
1263,healer,22
1264,lake,22
1265,worst,22
1266,curtains,22
1267,dusty,22
1268,danger,22
1269,forget,22
1270,headed,22
1271,escape,22
1272,escaped,22
1273,thrown,22
1274,jinx,22
1275,boys,22
1276,leading,22
1277,changed,22
1278,shelves,22
1279,farther,22
1280,smith,22
1281,realize,22
1282,fallen,22
1283,settled,22
1284,ball,22
1285,shining,22
1286,veil,22
1287,dragon,22
1288,careful,22
1289,copy,22
1290,smashed,22
1291,inches,22
1292,hufflepuff,22
1293,hesitated,22
1294,shrieked,22
1295,live,22
1296,surrounding,22
1297,international,22
1298,loads,22
1299,rolled,22
1300,vision,22
1301,showing,22
1302,planning,22
1303,baby,22
1304,plan,22
1305,deeply,22
1306,wizengamot,22
1307,witches,21
1308,singing,21
1309,keeper,21
1310,curled,21
1311,ones,21
1312,righ,21
1313,cauldron,21
1314,headquarters,21
1315,plate,21
1316,c,21
1317,ourselves,21
1318,vaguely,21
1319,surface,21
1320,waved,21
1321,hurry,21
1322,convinced,21
1323,pansy,21
1324,surely,21
1325,pass,21
1326,smoke,21
1327,calmly,21
1328,hanging,21
1329,hurrying,21
1330,mate,21
1331,square,21
1332,makes,21
1333,grass,21
1334,touch,21
1335,nigellus,21
1336,mumbled,21
1337,shouting,21
1338,extremely,21
1339,fresh,21
1340,grew,21
1341,gazed,21
1342,meanwhile,21
1343,wooden,21
1344,eh,21
1345,ha,21
1346,bench,21
1347,wormtail,21
1348,dropping,21
1349,upside,21
1350,louder,21
1351,frog,21
1352,glance,21
1353,split,21
1354,ancient,20
1355,beard,20
1356,wonderful,20
1357,wake,20
1358,whispering,20
1359,interesting,20
1360,cast,20
1361,hole,20
1362,living,20
1363,exchanged,20
1364,shaped,20
1365,sturgis,20
1366,houses,20
1367,fit,20
1368,cousin,20
1369,mirror,20
1370,mistake,20
1371,decide,20
1372,anybody,20
1373,wished,20
1374,definitely,20
1375,fault,20
1376,excitement,20
1377,date,20
1378,ripped,20
1379,dirty,20
1380,parkinson,20
1381,dull,20
1382,burning,20
1383,auror,20
1384,board,20
1385,echoed,20
1386,bus,20
1387,darkly,20
1388,eating,20
1389,leaning,20
1390,sunlight,20
1391,wood,20
1392,welcome,20
1393,spot,20
1394,pressed,20
1395,remain,20
1396,landing,20
1397,abou,20
1398,confused,20
1399,weasleys,20
1400,irritably,20
1401,lies,20
1402,dungeon,20
1403,seems,20
1404,lips,20
1405,properly,20
1406,continue,20
1407,seventh,19
1408,finger,19
1409,interested,19
1410,archway,19
1411,choice,19
1412,feelings,19
1413,nearby,19
1414,missed,19
1415,chairs,19
1416,bludger,19
1417,reach,19
1418,silvery,19
1419,oddly,19
1420,knife,19
1421,theory,19
1422,rolling,19
1423,likely,19
1424,lie,19
1425,saved,19
1426,serious,19
1427,panting,19
1428,understood,19
1429,excuse,19
1430,jet,19
1431,newspaper,19
1432,journey,19
1433,circular,19
1434,excitedly,19
1435,lines,19
1436,distance,19
1437,marched,19
1438,massive,19
1439,interest,19
1440,goal,19
1441,glad,19
1442,hoping,19
1443,wind,19
1444,progress,19
1445,bow,19
1446,speech,19
1447,brother,19
1448,dog,19
1449,hello,19
1450,fourth,19
1451,godfather,19
1452,flung,19
1453,calling,19
1454,effort,19
1455,goblin,19
1456,brown,19
1457,risk,19
1458,pull,19
1459,cage,19
1460,worth,19
1461,previous,19
1462,absolutely,19
1463,dementor,19
1464,warm,19
1465,haired,19
1466,act,19
1467,steak,19
1468,space,19
1469,halt,19
1470,grabbed,19
1471,post,19
1472,cupboard,18
1473,company,18
1474,worked,18
1475,inch,18
1476,slight,18
